"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2040","test_01_wizards[chromium]","tests","Tue May 13 16:05:31 GMT 2025","passed","Tue May 13 16:05:33 GMT 2025","Test1","test_sanity","",""
"","2098","test_03_wizards[chromium]","tests","Tue May 13 16:05:34 GMT 2025","passed","Tue May 13 16:05:36 GMT 2025","Test1","test_sanity","",""
"","277","test_02_wizards[chromium]","tests","Tue May 13 16:05:33 GMT 2025","passed","Tue May 13 16:05:34 GMT 2025","Test1","test_sanity","",""
